,country,year,life_expectancy
286,Israel,1801,32.0
287,Italy,1801,29.69
288,Jamaica,1801,34.2
289,Japan,1801,36.4
290,Jordan,1801,31.7
291,Kazakhstan,1801,26.2
292,Kenya,1801,25.5
293,Kiribati,1801,24.9
294,North Korea,1801,26.0
295,South Korea,1801,25.8
296,Kuwait,1801,26.0
297,Kyrgyz Republic,1801,23.94
298,Lao,1801,31.9
299,Latvia,1801,33.0
300,Lebanon,1801,29.7
301,Lesotho,1801,32.8
302,Liberia,1801,31.1
303,Libya,1801,33.1
304,Lithuania,1801,28.9
305,Luxembourg,1801,36.9
306,"Macao, China",1801,34.7
307,"Macedonia, FYR",1801,36.1
308,Madagascar,1801,30.5
309,Malawi,1801,30.3
310,Malaysia,1801,30.6
311,Maldives,1801,32.65
312,Mali,1801,26.41
313,Malta,1801,28.7
314,Martinique,1801,30.15
315,Mauritania,1801,32.0
316,Mauritius,1801,28.7
317,Mayotte,1801,32.5
318,Mexico,1801,26.9
319,"Micronesia, Fed. Sts.",1801,26.7
320,Moldova,1801,33.15
321,Mongolia,1801,31.8
322,Montenegro,1801,35.4
323,Morocco,1801,33.1
324,Mozambique,1801,30.28
325,Myanmar,1801,30.8
326,Namibia,1801,32.4
327,Nepal,1801,32.8
328,Netherlands,1801,39.86
329,Netherlands Antilles,1801,34.41
330,New Caledonia,1801,26.0
331,New Zealand,1801,34.05
332,Nicaragua,1801,25.4
333,Niger,1801,30.8
334,Nigeria,1801,30.4
335,Norway,1801,35.82
336,Oman,1801,32.3
337,Pakistan,1801,25.8
338,Panama,1801,32.9
339,Papua New Guinea,1801,31.5
340,Paraguay,1801,35.5
341,Peru,1801,35.7
342,Philippines,1801,30.9
343,Poland,1801,35.9
344,Portugal,1801,35.6
345,Puerto Rico,1801,30.43
346,Qatar,1801,30.8
347,Reunion,1801,33.0
348,Romania,1801,35.7
349,Russia,1801,29.57
350,Rwanda,1801,25.0
351,St. Lucia,1801,28.01
352,St. Vincent and the Grenadines,1801,25.99
353,Samoa,1801,25.4
354,Sao Tome and Principe,1801,31.0
355,Saudi Arabia,1801,32.1
356,Senegal,1801,25.2
357,Serbia,1801,35.5
358,Seychelles,1801,37.0
359,Sierra Leone,1801,25.1
360,Singapore,1801,29.1
361,Slovak Republic,1801,36.4
362,Slovenia,1801,36.6
363,Solomon Islands,1801,25.1
364,Somalia,1801,29.4
365,South Africa,1801,33.5
366,Spain,1801,29.5
367,Sri Lanka,1801,32.6
368,Sudan,1801,31.4
369,Suriname,1801,32.9
370,Swaziland,1801,32.3
371,Sweden,1801,36.9
372,Switzerland,1801,38.0
373,Syria,1801,31.1
374,Taiwan,1801,28.3
375,Tajikistan,1801,24.24
376,Tanzania,1801,32.2
377,Thailand,1801,30.4
378,Timor-Leste,1801,28.95
379,Togo,1801,31.3
380,Tonga,1801,28.2
381,Trinidad and Tobago,1801,32.9
382,Tunisia,1801,28.8
383,Turkey,1801,35.0
384,Turkmenistan,1801,24.0
385,Uganda,1801,25.3
386,Ukraine,1801,36.6
387,United Arab Emirates,1801,30.7
388,United Kingdom,1801,37.35
389,United States,1801,39.41
390,Uruguay,1801,32.9
391,Uzbekistan,1801,26.93
392,Vanuatu,1801,24.3
393,Venezuela,1801,32.2
394,West Bank and Gaza,1801,32.1
395,Western Sahara,1801,34.75
396,Vietnam,1801,32.0
397,Virgin Islands (U.S.),1801,33.4
398,Yemen,1801,23.39
399,Zambia,1801,32.6
400,Zimbabwe,1801,33.7
401,South Sudan,1801,26.67
402,Afghanistan,1802,28.19
403,Albania,1802,35.4
404,Algeria,1802,28.82
405,Angola,1802,26.98
406,Antigua and Barbuda,1802,33.54
407,Argentina,1802,33.2
408,Armenia,1802,34.0
409,Aruba,1802,34.42
410,Australia,1802,34.05
411,Austria,1802,34.4
412,Azerbaijan,1802,29.17
413,Bahamas,1802,35.18
414,Bahrain,1802,30.3
415,Bangladesh,1802,25.5
416,Barbados,1802,32.12
417,Belarus,1802,36.2
418,Belgium,1802,40.02
419,Belize,1802,26.5
420,Benin,1802,31.0
421,Bhutan,1802,28.8
422,Bolivia,1802,33.0
423,Bosnia and Herzegovina,1802,35.1
424,Botswana,1802,33.6
425,Brazil,1802,32.0
426,Brunei,1802,29.2
427,Bulgaria,1802,35.89
428,Burkina Faso,1802,29.2
429,Burundi,1802,31.5
430,Cambodia,1802,35.0
431,Cameroon,1802,28.75
432,Canada,1802,39.0
433,Cape Verde,1802,33.8
434,Central African Republic,1802,30.0
435,Chad,1802,30.9
436,Chile,1802,32.0
437,China,1802,32.0
438,Colombia,1802,32.0
439,Comoros,1802,32.1
440,"Congo, Dem. Rep.",1802,31.6
441,"Congo, Rep.",1802,32.7
442,Costa Rica,1802,30.21
443,Cote d'Ivoire,1802,31.16
444,Croatia,1802,36.1
445,Cuba,1802,32.45
446,Cyprus,1802,38.5
447,Czech Republic,1802,34.95
448,Denmark,1802,44.37
449,Djibouti,1802,29.9
450,Dominican Republic,1802,29.9
451,Ecuador,1802,32.9
452,Egypt,1802,33.0
453,El Salvador,1802,28.7
454,Equatorial Guinea,1802,29.8
455,Eritrea,1802,30.2
456,Estonia,1802,35.26
457,Ethiopia,1802,29.7
458,Fiji,1802,26.1
459,Finland,1802,39.2
460,France,1802,34.38
461,French Guiana,1802,30.5
462,French Polynesia,1802,25.6
463,Gabon,1802,30.6
464,Gambia,1802,28.8
465,Georgia,1802,31.87
466,Germany,1802,38.37
467,Ghana,1802,28.0
468,Greece,1802,36.6
469,Greenland,1802,33.87
470,Grenada,1802,31.4
471,Guadeloupe,1802,27.66
472,Guam,1802,27.5
473,Guatemala,1802,25.8
474,Guinea,1802,29.52
475,Guinea-Bissau,1802,32.0
476,Guyana,1802,31.12
477,Haiti,1802,29.0
478,Honduras,1802,33.9
479,"Hong Kong, China",1802,34.9
480,Hungary,1802,36.0
481,Iceland,1802,27.62
482,India,1802,25.0
483,Indonesia,1802,30.0
484,Iran,1802,25.6
485,Iraq,1802,31.2
486,Ireland,1802,38.3
487,Israel,1802,32.0
488,Italy,1802,29.69
489,Jamaica,1802,34.2
490,Japan,1802,36.4
491,Jordan,1802,31.7
492,Kazakhstan,1802,26.2
493,Kenya,1802,25.5
494,Kiribati,1802,24.9
495,North Korea,1802,26.0
496,South Korea,1802,25.8
497,Kuwait,1802,26.0
498,Kyrgyz Republic,1802,23.94
499,Lao,1802,31.9
500,Latvia,1802,33.0
501,Lebanon,1802,29.7
502,Lesotho,1802,32.8
503,Liberia,1802,31.1
504,Libya,1802,33.1
505,Lithuania,1802,28.9
506,Luxembourg,1802,36.9
507,"Macao, China",1802,34.7
508,"Macedonia, FYR",1802,36.1
509,Madagascar,1802,30.5
510,Malawi,1802,30.3
511,Malaysia,1802,30.6
512,Maldives,1802,32.65
513,Mali,1802,26.41
514,Malta,1802,28.7
515,Martinique,1802,30.15
516,Mauritania,1802,32.0
517,Mauritius,1802,28.7
518,Mayotte,1802,32.5
519,Mexico,1802,26.9
520,"Micronesia, Fed. Sts.",1802,26.7
521,Moldova,1802,33.15
522,Mongolia,1802,31.8
523,Montenegro,1802,35.4
524,Morocco,1802,33.1
525,Mozambique,1802,30.28
526,Myanmar,1802,30.8
527,Namibia,1802,32.4
528,Nepal,1802,32.8
529,Netherlands,1802,39.86
530,Netherlands Antilles,1802,34.41
531,New Caledonia,1802,26.0
532,New Zealand,1802,34.05
533,Nicaragua,1802,25.4
534,Niger,1802,30.8
535,Nigeria,1802,30.4
536,Norway,1802,38.37
537,Oman,1802,32.3
538,Pakistan,1802,25.8
539,Panama,1802,32.9
540,Papua New Guinea,1802,31.5
541,Paraguay,1802,35.5
542,Peru,1802,35.7
543,Philippines,1802,30.9
544,Poland,1802,35.9
545,Portugal,1802,35.6
546,Puerto Rico,1802,30.43
547,Qatar,1802,30.8
548,Reunion,1802,33.0
549,Romania,1802,35.7
550,Russia,1802,29.57
551,Rwanda,1802,25.0
552,St. Lucia,1802,28.01
553,St. Vincent and the Grenadines,1802,25.99
554,Samoa,1802,25.4
555,Sao Tome and Principe,1802,31.0
556,Saudi Arabia,1802,32.1
557,Senegal,1802,25.2
558,Serbia,1802,35.5
559,Seychelles,1802,37.0
560,Sierra Leone,1802,25.1
561,Singapore,1802,29.1
562,Slovak Republic,1802,36.4
563,Slovenia,1802,36.6
564,Solomon Islands,1802,25.1
565,Somalia,1802,29.4
566,South Africa,1802,33.5
567,Spain,1802,29.5
568,Sri Lanka,1802,32.6
569,Sudan,1802,31.4
570,Suriname,1802,32.9
571,Swaziland,1802,32.3
572,Sweden,1802,40.2
573,Switzerland,1802,38.0
574,Syria,1802,31.1
575,Taiwan,1802,28.3
576,Tajikistan,1802,24.24
577,Tanzania,1802,32.2
578,Thailand,1802,30.4
579,Timor-Leste,1802,28.95
580,Togo,1802,31.3
581,Tonga,1802,28.2
582,Trinidad and Tobago,1802,32.9
583,Tunisia,1802,28.8
584,Turkey,1802,35.0
585,Turkmenistan,1802,24.0
586,Uganda,1802,25.3
587,Ukraine,1802,36.6
588,United Arab Emirates,1802,30.7
589,United Kingdom,1802,38.62
590,United States,1802,39.41
591,Uruguay,1802,32.9
592,Uzbekistan,1802,26.93
593,Vanuatu,1802,24.3
594,Venezuela,1802,32.2
595,West Bank and Gaza,1802,32.1
596,Western Sahara,1802,34.75
597,Vietnam,1802,32.0
598,Virgin Islands (U.S.),1802,33.4
599,Yemen,1802,23.39
600,Zambia,1802,32.6
601,Zimbabwe,1802,33.7
602,South Sudan,1802,26.67
603,Afghanistan,1803,28.18
604,Albania,1803,35.4
605,Algeria,1803,28.82
606,Angola,1803,26.98
607,Antigua and Barbuda,1803,33.54
608,Argentina,1803,33.2
609,Armenia,1803,34.0
610,Aruba,1803,34.42
611,Australia,1803,34.05
612,Austria,1803,34.4
613,Azerbaijan,1803,29.17
614,Bahamas,1803,35.18
615,Bahrain,1803,30.3
616,Bangladesh,1803,25.5
617,Barbados,1803,32.12
618,Belarus,1803,36.2
619,Belgium,1803,40.02
620,Belize,1803,26.5
621,Benin,1803,31.0
622,Bhutan,1803,28.8
623,Bolivia,1803,33.0
624,Bosnia and Herzegovina,1803,35.1
625,Botswana,1803,33.6
626,Brazil,1803,32.0
627,Brunei,1803,29.2
628,Bulgaria,1803,35.93
629,Burkina Faso,1803,29.2
630,Burundi,1803,31.5
631,Cambodia,1803,35.0
632,Cameroon,1803,28.75
633,Canada,1803,39.0
634,Cape Verde,1803,33.8
635,Central African Republic,1803,30.0
636,Chad,1803,30.9
637,Chile,1803,32.0
638,China,1803,32.0
639,Colombia,1803,32.0
640,Comoros,1803,32.1
641,"Congo, Dem. Rep.",1803,31.6
642,"Congo, Rep.",1803,32.7
643,Costa Rica,1803,30.21
644,Cote d'Ivoire,1803,31.16
645,Croatia,1803,36.1
646,Cuba,1803,32.58
647,Cyprus,1803,38.5
648,Czech Republic,1803,34.95
649,Denmark,1803,44.84
650,Djibouti,1803,29.9
651,Dominican Republic,1803,29.9
652,Ecuador,1803,32.9
653,Egypt,1803,33.0
654,El Salvador,1803,28.7
655,Equatorial Guinea,1803,29.8
656,Eritrea,1803,30.2
657,Estonia,1803,34.82
658,Ethiopia,1803,29.7
659,Fiji,1803,26.1
660,Finland,1803,28.53
661,France,1803,30.64
662,French Guiana,1803,30.5
663,French Polynesia,1803,25.6
664,Gabon,1803,30.6
665,Gambia,1803,28.8
666,Georgia,1803,31.87
667,Germany,1803,38.37
668,Ghana,1803,28.0
669,Greece,1803,36.6
670,Greenland,1803,33.87
671,Grenada,1803,31.4
672,Guadeloupe,1803,27.66
673,Guam,1803,27.5
674,Guatemala,1803,25.8
675,Guinea,1803,29.53
676,Guinea-Bissau,1803,32.0
677,Guyana,1803,31.12
678,Haiti,1803,29.0
679,Honduras,1803,33.9
680,"Hong Kong, China",1803,34.9
681,Hungary,1803,36.0
682,Iceland,1803,19.6
683,India,1803,24.0
684,Indonesia,1803,30.0
685,Iran,1803,25.6
686,Iraq,1803,31.2
687,Ireland,1803,38.3
688,Israel,1803,32.0
689,Italy,1803,29.69
690,Jamaica,1803,34.2
691,Japan,1803,36.4
692,Jordan,1803,31.7
693,Kazakhstan,1803,26.2
694,Kenya,1803,25.5
695,Kiribati,1803,24.9
696,North Korea,1803,26.0
697,South Korea,1803,25.8
698,Kuwait,1803,26.0
699,Kyrgyz Republic,1803,23.94
700,Lao,1803,31.9
701,Latvia,1803,33.0
702,Lebanon,1803,29.7
703,Lesotho,1803,32.8
704,Liberia,1803,31.1
705,Libya,1803,33.1
706,Lithuania,1803,28.9
707,Luxembourg,1803,36.9
708,"Macao, China",1803,34.7
709,"Macedonia, FYR",1803,36.1
710,Madagascar,1803,30.5
711,Malawi,1803,30.3
712,Malaysia,1803,30.6
713,Maldives,1803,32.65
714,Mali,1803,26.41
715,Malta,1803,28.7
716,Martinique,1803,30.15
717,Mauritania,1803,32.0
718,Mauritius,1803,28.7
719,Mayotte,1803,32.5
720,Mexico,1803,26.9
721,"Micronesia, Fed. Sts.",1803,26.7
722,Moldova,1803,33.15
723,Mongolia,1803,31.8
724,Montenegro,1803,35.4
725,Morocco,1803,33.1
726,Mozambique,1803,30.28
727,Myanmar,1803,30.8
728,Namibia,1803,32.4
729,Nepal,1803,32.8
730,Netherlands,1803,39.86
731,Netherlands Antilles,1803,34.41
732,New Caledonia,1803,26.0
733,New Zealand,1803,34.05
734,Nicaragua,1803,25.4
735,Niger,1803,30.8
736,Nigeria,1803,30.4
737,Norway,1803,38.72
738,Oman,1803,32.3
739,Pakistan,1803,25.8
740,Panama,1803,32.9
741,Papua New Guinea,1803,31.5
742,Paraguay,1803,35.5
743,Peru,1803,35.7
744,Philippines,1803,30.9
745,Poland,1803,35.9
746,Portugal,1803,35.6
747,Puerto Rico,1803,30.43
748,Qatar,1803,30.8
749,Reunion,1803,33.0
750,Romania,1803,35.7
751,Russia,1803,29.57
752,Rwanda,1803,31.8
753,St. Lucia,1803,28.01
754,St. Vincent and the Grenadines,1803,25.99
755,Samoa,1803,25.4
756,Sao Tome and Principe,1803,31.0
757,Saudi Arabia,1803,32.1
758,Senegal,1803,25.2
759,Serbia,1803,35.5
760,Seychelles,1803,37.0
761,Sierra Leone,1803,25.1
762,Singapore,1803,29.1
763,Slovak Republic,1803,36.4
764,Slovenia,1803,36.6
765,Solomon Islands,1803,25.1
766,Somalia,1803,29.4
767,South Africa,1803,33.5
768,Spain,1803,29.5
769,Sri Lanka,1803,32.6
770,Sudan,1803,31.4
771,Suriname,1803,32.9
772,Swaziland,1803,32.3
773,Sweden,1803,40.28
774,Switzerland,1803,38.0
775,Syria,1803,31.1
776,Taiwan,1803,28.3
777,Tajikistan,1803,24.24
778,Tanzania,1803,32.2
779,Thailand,1803,30.4
780,Timor-Leste,1803,28.95
781,Togo,1803,31.3
782,Tonga,1803,28.2
783,Trinidad and Tobago,1803,32.9
784,Tunisia,1803,28.8
785,Turkey,1803,35.0
786,Turkmenistan,1803,24.0
787,Uganda,1803,25.3
788,Ukraine,1803,36.6
789,United Arab Emirates,1803,30.7
790,United Kingdom,1803,37.32
791,United States,1803,39.41
792,Uruguay,1803,32.9
793,Uzbekistan,1803,26.93
794,Vanuatu,1803,24.3
795,Venezuela,1803,32.2
796,West Bank and Gaza,1803,32.1
797,Western Sahara,1803,34.75
798,Vietnam,1803,32.0
799,Virgin Islands (U.S.),1803,33.4
800,Yemen,1803,23.39
801,Zambia,1803,32.6
802,Zimbabwe,1803,33.7
803,South Sudan,1803,26.67
804,Afghanistan,1804,28.17
805,Albania,1804,35.4
806,Algeria,1804,28.82
807,Angola,1804,26.98
808,Antigua and Barbuda,1804,33.54
809,Argentina,1804,33.2
810,Armenia,1804,34.0
811,Aruba,1804,34.42
812,Australia,1804,34.05
813,Austria,1804,34.4
814,Azerbaijan,1804,29.17
815,Bahamas,1804,35.18
816,Bahrain,1804,30.3
817,Bangladesh,1804,25.5
818,Barbados,1804,32.12
819,Belarus,1804,36.2
820,Belgium,1804,40.03
821,Belize,1804,26.5
822,Benin,1804,31.0
823,Bhutan,1804,28.8
824,Bolivia,1804,33.0
825,Bosnia and Herzegovina,1804,35.1
826,Botswana,1804,33.6
827,Brazil,1804,32.0
828,Brunei,1804,29.2
829,Bulgaria,1804,35.98
830,Burkina Faso,1804,29.2
831,Burundi,1804,31.5
832,Cambodia,1804,35.0
833,Cameroon,1804,28.75
834,Canada,1804,39.01
835,Cape Verde,1804,33.8
836,Central African Republic,1804,30.0
837,Chad,1804,30.9
838,Chile,1804,32.0
839,China,1804,32.0
840,Colombia,1804,32.0
841,Comoros,1804,32.1
842,"Congo, Dem. Rep.",1804,31.6
843,"Congo, Rep.",1804,32.7
844,Costa Rica,1804,30.21
845,Cote d'Ivoire,1804,31.16
846,Croatia,1804,36.1
847,Cuba,1804,32.7
848,Cyprus,1804,38.5
849,Czech Republic,1804,34.95
850,Denmark,1804,42.83
851,Djibouti,1804,29.9
852,Dominican Republic,1804,29.9
853,Ecuador,1804,32.9
